URL,Titulo,Enlace,Copete,Seccion
https://www.eltribuno.com/salta,"
 ""Estoy orgulloso de ser minero"" 
",https://www.eltribuno.com//salta/nota/2023-5-6-20-2-0-estoy-orgulloso-de-ser-minero,"6 DE Mayo 2023 - 20:00
                                Esteban Córdoba trabaja en la mina de boratos Sol de Mañana, es un referente en la Puna salteña y relató su experiencia de 20 años a El Tribuno.",Minería en Salta
https://www.eltribuno.com/salta,"
 Mujeres, en minería 
",https://www.eltribuno.com//salta/nota/2023-5-7-0-0-0-mujeres-en-mineria,"6 DE Mayo 2023 - 20:03
                                Dos mujeres cuentan su experiencia laboral en el sector.",Minería en Salta
https://www.eltribuno.com/salta,"
 Elecciones en Salta: mirá dónde tenés que votar 
",https://www.eltribuno.com//salta/nota/2023-4-15-15-5-0-elecciones-provinciales-mira-donde-tenes-que-votar,"15 DE Abril 2023 - 15:23
                                El Tribunal Electoral de la Provincia ya puso a disposición el padrón para los comicios del 14 de mayo.",elecciones 2023
https://www.eltribuno.com/salta,"
 Ya se puede practicar con el simulador del voto electrónico para las elecciones del 14 de mayo 
",https://www.eltribuno.com//salta/nota/2023-4-26-19-9-0-ya-se-puede-practicar-con-el-simulador-del-voto-electronico-para-las-elecciones-del-14-de-mayo,"26 DE Abril 2023 - 20:02
                                El Tribunal Electoral de la Provincia habilitó un link para interiorizarse con las pantallas seguir el paso a paso en el cuarto oscuro.",elecciones 2023
https://www.eltribuno.com/salta,"
 VIDEO. Mercedes Ortega: ""Fortalecer las políticas de trabajo del sector"" 
",https://www.eltribuno.com//salta/nota/2023-4-22-20-7-0-video-mercedes-ortega-fortalecer-las-politicas-de-trabajo-del-sector,22 DE Abril 2023 - 20:12,hablemos de lo que viene - minería SLA
https://www.eltribuno.com/salta,"
 VIDEO. Lourdes Décima: ""La mujer le aporta sensibilidad a la minería"" 
",https://www.eltribuno.com//salta/nota/2023-4-22-20-17-0-lourdes-decima-la-mujer-le-aporta-sensibilidad-a-la-mineria,22 DE Abril 2023 - 20:19,hablemos de lo que viene - minería SLA
https://www.eltribuno.com/salta,"
 ""Hay que armar un equipo entre gobierno, mineras y proveedores"" 
",https://www.eltribuno.com//salta/nota/2023-4-22-19-19-0-hay-que-armar-un-equipo-entre-gobierno-mineras-y-proveedores,"22 DE Abril 2023 - 19:47
                                Lo señaló José Luis García, fundador y actual presidente de Mari Mari Modular, una empresa clave para la construcción de campamentos necesarios para la actividad minera.",hablemos de lo que viene - minería SLA
https://www.eltribuno.com/salta,"
La presentación de ""La transformación de Salta""
",https://www.eltribuno.com//salta/fotogaleria/2023-5-7-18-7-0-la-presentacion-de-la-transformacion-de-salta,,
https://www.eltribuno.com/salta,"
Presentación del libro ""La transformación de Salta"" por el Dr. Juan Carlos Romero
",https://www.eltribuno.com//salta/fotogaleria/2023-5-5-0-33-0-presentacion-del-libro-la-transformacion-de-salta-por-el-dr-juan-carlos-romero,,
https://www.eltribuno.com/salta,"
Hablemos de lo que viene: Minería SLA
",https://www.eltribuno.com//salta/fotogaleria/2023-4-20-21-51-0-hablemos-de-lo-que-viene-mineria-sla,,
https://www.eltribuno.com/salta,"
Fragilidad educativa
",https://www.eltribuno.com//salta/carta-lectores/1643430698864/#0,,
https://www.eltribuno.com/salta,"
Rutas peligrosas
",https://www.eltribuno.com//salta/carta-lectores/1643430698864/#1,,
https://www.eltribuno.com/salta,"
Dr. Angel González Roffo
",https://www.eltribuno.com//salta/carta-lectores/1638662645700/#0,,
https://www.eltribuno.com/salta,"
Vacunas y algo más
",https://www.eltribuno.com//salta/carta-lectores/1624840905786/#0,,
https://www.eltribuno.com/salta,"
Pérdidas irreparables
",https://www.eltribuno.com//salta/carta-lectores/1624840905786/#1,,
https://www.eltribuno.com/salta,"
Acto politizado
",https://www.eltribuno.com//salta/carta-lectores/1624146328719/#0,,
https://www.eltribuno.com/salta,"
Distinta vara
",https://www.eltribuno.com//salta/carta-lectores/1624146328719/#1,,
https://www.eltribuno.com/salta,"
Informar sobre vacunas
",https://www.eltribuno.com//salta/carta-lectores/1619307790274/#0,,
